"","x"
"1",0.759630200308166
"2",0.780370072405471
"3",0.952380952380952
"4",0.813333333333333
"5",0.934306569343066
"6",0.955555555555556
"7",0
"8",0.235668789808917
"9",0.888888888888889
"10",0.3125
"11",0.717142857142857
"12",0.635658914728682
"13",0.828571428571429
"14",0.586206896551724
"15",0.65120681495504
"16",0.360515021459227
"17",0.912359550561798
"18",0.930232558139535
"19",0.758064516129032
"20",0.752118644067797
"21",0.907103825136612
"22",0.871295168493707
"23",0.929577464788732
"24",0
"25",0.458
"26",0.458458458458458
"27",0.816621499548329
"28",0.507217847769029
"29",0.490275526742301
"30",0.30379746835443
"31",0.369014084507042
"32",0.838235294117647
"33",0.867924528301887
"34",0.107476635514019
"35",0.607142857142857
"36",0.38
"37",0.41235632183908
"38",0.884160756501182
"39",0.36
"40",0.625
"41",0.886075949367089
"42",0.847736625514403
"43",0.861878453038674
"44",0.965040879616577
"45",0.303030303030303
"46",0.860067167759475
"47",0.502092050209205
"48",0.844827586206896
"49",0.670103092783505
"50",0.71244635193133
"51",0.228813559322034
"52",0.907840139768508
"53",0.475454545454545
"54",0.250755287009063
"55",0.405238828967643
"56",0.488888888888889
"57",0.644230769230769
"58",0.956521739130435
"59",0.285714285714286
"60",0.914529914529915
"61",0.952662721893491
"62",0.4
"63",0.444007858546169
"64",0.189189189189189
"65",0.194078947368421
"66",0.808764940239044
"67",0.919937205651491
"68",0.697674418604651
"69",0.317073170731707
"70",0.915151515151515
"71",0.925925925925926
"72",0.925925925925926
"73",0.939759036144578
"74",0.526315789473684
"75",0.770580296896086
